Survived,Pclass,Age,SibSp,Parch,Fare,Age_was_missing,Cabin_known,FamilySize,IsAlone,FarePerPerson,IsWoman_or_Child,LogFare,LogAge,Pclass_x_Fare,Age_x_Pclass,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Rare_Female,Title_Rare_Male,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_U,AgeGroup_Adult,AgeGroup_Child,AgeGroup_Senior,AgeGroup_Teen
1,2,59.20231498571705,0,0,20.414056833992213,0,0,1,1,20.4141,1,3.0640475677902854,4.0977108064876475,40.828113667984425,118.4046299714341,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,3,20.519991077953264,0,2,8.67114849323237,0,0,3,0,2.8904,1,2.2691470711027675,3.068982320700248,26.013445479697108,61.55997323385979,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,3,39.3893352081303,0,0,11.495073109419526,0,0,1,1,11.4951,0,2.5253344153637975,3.698565770121477,34.48521932825858,118.1680056243909,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,3,33.190096125690886,0,0,22.964273138188386,0,0,1,1,22.9643,1,3.176564102011355,3.531936015162054,68.89281941456515,99.57028837707266,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,1,47.22437805158317,2,0,60.83679323733589,0,0,3,0,20.2789,0,4.124498547134736,3.8758646619037176,60.83679323733589,47.22437805158317,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,1,28.93634720645708,1,0,63.96028362805381,1,0,2,0,31.9801,0,4.1737760620393,3.3990733677560656,63.96028362805381,28.93634720645708,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,1,29.44805808692073,5,0,213.14771624986568,0,0,6,0,35.5246,1,5.366666039749862,3.4160222182937217,213.14771624986568,29.44805808692073,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,3,18.45214981515344,0,1,11.272065021197648,0,0,2,0,5.636,0,2.507325542948352,2.967957594298506,33.81619506359294,55.35644944546032,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,3,35.43961000114763,3,0,8.199453581340705,0,0,4,0,2.0499,0,2.219144088958609,3.595656369841281,24.598360744022116,106.31883000344288,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,3,19.51198482347052,0,0,19.123047190720072,0,0,1,1,19.123,0,3.0018657845950365,3.0210093408525784,57.36914157216022,58.53595447041156,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,1,57.18742146537272,0,0,77.35042448860972,0,1,1,1,77.3504,0,4.361191386638147,4.063669205354274,77.35042448860972,57.18742146537272,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,3,30.911494635158324,0,3,5.212956450476993,0,1,4,0,1.3032,0,1.8266368616375463,3.462966278276857,15.638869351430978,92.73448390547497,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1,3,23.88549828163048,0,0,22.40883048980905,0,0,1,1,22.4088,0,3.153113322536354,3.214285235482786,67.22649146942715,71.65649484489144,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,1,31.58552428210872,1,0,51.100947660569176,0,0,2,0,25.5505,0,3.953183137856263,3.483868149331405,51.100947660569176,31.58552428210872,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,1,10.140231946584253,0,0,82.1197044963838,0,1,1,1,82.1197,1,4.420281791640088,2.4105630553402153,82.1197044963838,10.140231946584253,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,1,15.397403460850878,0,0,76.79527896094567,0,0,1,1,76.7953,1,4.354080747607218,2.7971229967374653,76.79527896094567,15.397403460850878,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,2,45.80579471122196,0,0,22.96090478382403,0,0,1,1,22.9609,0,3.1764235347973786,3.8460070138745626,45.92180956764806,91.61158942244391,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,3,30.268762512030733,0,0,3.2228375759022927,1,1,1,1,3.2228,0,1.4405073134319515,3.4426195963991946,9.668512727706878,90.8062875360922,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,2,14.343246242452846,0,1,16.35727228085648,0,0,2,0,8.1786,0,2.85401157020774,2.7306753930067287,32.71454456171296,28.686492484905692,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,2,36.513138535382005,0,0,39.27681947543855,0,0,1,1,39.2768,0,3.6957761043415287,3.624691232557822,78.5536389508771,73.02627707076401,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,3,45.59985816528196,1,1,25.640521258050708,0,0,3,0,8.5468,0,3.282433412224407,3.841597497463491,76.92156377415212,136.7995744958459,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,1,39.065346349310936,1,0,44.13496854135524,0,1,2,0,22.0675,0,3.809657301759851,3.690511779877829,44.13496854135524,39.065346349310936,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,2,42.94466760128143,0,0,34.74692987479632,0,0,1,1,34.7469,0,3.576464387824247,3.7829312880167065,69.49385974959264,85.88933520256286,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,2,18.404868760027547,0,0,12.66540702728132,0,0,1,1,12.6654,0,2.614867605052886,2.9655240015940594,25.33081405456264,36.809737520055094,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,3,9.09465066561419,0,0,9.584884191451764,0,0,1,1,9.5849,1,2.3594269637099496,2.3120056464720564,28.75465257435529,27.283951996842568,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,3,50.01867112737681,1,0,9.891897917592177,0,0,2,0,4.9459,0,2.3880192025303715,3.932191666262676,29.67569375277653,150.05601338213043,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,1,26.15773036573737,0,0,85.39681973781956,1,0,1,1,85.3968,1,4.458950866542506,3.301661733872407,85.39681973781956,26.15773036573737,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,3,25.488337769629336,0,0,21.88335984460994,0,1,1,1,21.8834,1,3.130410002086056,3.2767045519617892,65.65007953382982,76.465013308888,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,3,47.59471798588681,0,0,14.064548935139175,0,0,1,1,14.0645,0,2.712344230888691,3.8835148415820107,42.19364680541753,142.78415395766044,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,1,26.15773036573737,0,6,74.1690968174654,1,0,7,0,10.5956,1,4.3197401999178515,3.301661733872407,74.1690968174654,26.15773036573737,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,3,35.38242880914251,0,0,21.440751558246827,0,1,1,1,21.4408,0,3.110878571994137,3.594085933069904,64.32225467474048,106.14728642742753,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,1,59.31003282861518,1,2,49.42368686819341,0,0,4,0,12.3559,1,3.9204610422159876,4.0994984717939555,49.42368686819341,59.31003282861518,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,1,19.990744774678,0,0,76.37811242878279,0,1,1,1,76.3781,1,4.348703955446574,3.0440816155602755,76.37811242878279,19.990744774678,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,30.268762512030733,0,0,21.8101484524726,1,0,1,1,21.8101,0,3.127205544493996,3.4426195963991946,65.4304453574178,90.8062875360922,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,3,29.798183748559183,1,0,16.485651175943392,0,0,2,0,8.2428,0,2.8613806117974754,3.427455719038153,49.45695352783018,89.39455124567755,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,3,32.7602919040856,1,0,9.071378737470484,0,1,2,0,4.5357,0,2.309697612698092,3.5192853161384092,27.214136212411454,98.2808757122568,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,2,50.39855796977544,0,0,8.068424335531594,0,0,1,1,8.0684,0,2.204798526381889,3.9396101170048343,16.136848671063188,100.79711593955088,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,1,36.109700588054736,0,0,96.40340756252756,0,0,1,1,96.4034,0,4.578861195278076,3.6138784068118452,96.40340756252756,36.109700588054736,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,3,36.53614510669486,0,2,4.653881155884883,0,0,3,0,1.5513,0,1.732342239574873,3.625304338264287,13.96164346765465,109.60843532008458,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,2,26.577726811301005,2,1,17.605853900746553,1,1,4,0,4.4015,0,2.923476257049954,3.3170084473331,35.211707801493105,53.15545362260201,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1,1,23.890661786399605,0,0,162.291755319971,0,0,1,1,162.2918,1,5.09553851076537,3.214492704471177,162.291755319971,23.890661786399605,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,3,17.251064657253913,2,0,17.16653480258237,0,0,3,0,5.7222,1,2.8995811544012975,2.9042234157107174,51.49960440774711,51.75319397176174,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,1,14.37267128370553,1,0,23.755979040398486,0,0,2,0,11.878,0,3.209067037229418,2.7325913409987677,23.755979040398486,14.37267128370553,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,3,1.4710077487359747,0,0,13.53362801746698,0,0,1,1,13.5336,1,2.6764651379125293,0.9046260628720437,40.600884052400936,4.413023246207924,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,2,57.78689981916451,0,0,16.514360319547773,0,0,1,1,16.5144,0,2.863021134118267,4.073919037891635,33.028720639095546,115.57379963832902,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,3,13.555082879896435,0,2,5.588306051730227,0,1,3,0,1.8628,0,1.8852962671759719,2.6779402714373988,16.76491815519068,40.66524863968931,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,2,25.90244926979919,0,0,24.45280787976489,0,0,1,1,24.4528,1,3.2368260661745527,3.292217333384813,48.90561575952978,51.80489853959838,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,3,25.12461380155511,0,0,8.933997476892568,0,1,1,1,8.934,0,2.2959629626980687,3.262877927460116,26.801992430677704,75.37384140466533,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,3,33.30369376932741,0,0,8.967314340416099,0,0,1,1,8.9673,0,2.2993111736054006,3.5352530384415894,26.901943021248297,99.91108130798223,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
0,1,40.42032097555016,4,0,86.18134213831954,0,0,5,0,17.2363,0,4.467990341717203,3.7237716052264074,86.18134213831954,40.42032097555016,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,3,41.04662883703644,0,0,8.243095420828038,0,0,1,1,8.2431,0,2.223876831806983,3.738779212861182,24.729286262484113,123.13988651110931,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,3,20.836915860034864,1,0,12.709479725611388,0,1,2,0,6.3547,1,2.618087544321073,3.0836019257050302,38.12843917683416,62.51074758010459,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,3,26.66029600699024,0,0,8.405714027928822,0,0,1,1,8.4057,1,2.2413173799061763,3.3199980278058954,25.217142083786463,79.98088802097072,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,3,32.95611930683619,0,0,8.687018400272928,0,0,1,1,8.687,0,2.2707866799234933,3.5250690824411177,26.061055200818785,98.86835792050857,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,3,30.268762512030733,0,0,21.7728659069319,1,0,1,1,21.7729,0,3.1255697354375633,3.4426195963991946,65.31859772079571,90.8062875360922,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,3,51.5028380642799,0,5,23.143399743665512,0,0,6,0,3.8572,0,3.184011040204906,3.9608672265037135,69.43019923099654,154.5085141928397,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
1,1,35.87364932293552,2,0,28.69819091299212,0,0,3,0,9.5661,1,3.3910861319329744,3.607497185458581,28.69819091299212,35.87364932293552,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,1,39.28828900469745,0,0,125.24481488468906,0,0,1,1,125.2448,1,4.83822299709178,3.6960608313046706,125.24481488468906,39.28828900469745,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,1,38.28033776134378,0,0,185.1527643267849,0,0,1,1,185.1528,0,5.2265676502046245,3.67072408226151,185.1527643267849,38.28033776134378,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,2,45.42863400479455,0,0,50.91504014000207,0,0,1,1,50.915,0,3.9496085389420985,3.837916381069091,101.83008028000414,90.8572680095891,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,2,31.53430182185189,0,0,27.32931974140133,0,0,1,1,27.3293,1,3.3438973016021865,3.4822949734221456,54.65863948280266,63.06860364370378,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,2,10.844352728618148,0,1,10.60466033673871,0,0,2,0,5.3023,1,2.451406770598254,2.4718511910030996,21.20932067347742,21.688705457236296,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,3,34.59563132453698,1,0,17.51215399728171,0,0,2,0,8.7561,1,2.918427489198143,3.5722229147249154,52.53646199184513,103.78689397361094,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,2,19.881003486914395,1,0,11.871978321740864,0,1,2,0,5.936,0,2.5550527255479603,3.0388398215777292,23.743956643481727,39.76200697382879,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,2,21.599366455503404,0,0,16.280257442325137,0,0,1,1,16.2803,0,2.8495646615476358,3.1179218729429827,32.560514884650274,43.19873291100681,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,3,30.268762512030733,0,0,15.100924151208428,1,0,1,1,15.1009,0,2.778876671039236,3.4426195963991946,45.30277245362528,90.8062875360922,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,1,46.335963000070905,0,1,49.36151276430856,0,1,2,0,24.6808,0,3.9192272477303174,3.8572703237294808,49.36151276430856,46.335963000070905,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,3,29.29780207430486,0,1,6.031926621478026,0,0,2,0,3.016,0,1.9504607253850335,3.4110751710824374,18.09577986443408,87.89340622291459,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,1,33.3236621763855,0,0,105.7936634409756,0,0,1,1,105.7937,1,4.670898593688929,3.535834975698138,105.7936634409756,33.3236621763855,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,3,30.268762512030733,0,1,36.790555653083885,1,0,2,0,18.3953,0,3.6320592209602025,3.4426195963991946,110.37166695925166,90.8062875360922,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,3,32.37054451283996,0,0,25.30108418748758,0,0,1,1,25.3011,0,3.2696101621928824,3.507673610066174,75.90325256246274,97.1116335385199,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,1,28.93634720645708,0,4,122.2830385345016,1,0,5,0,24.4566,0,4.814482838132692,3.3990733677560656,122.2830385345016,28.93634720645708,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,1,36.91713503884162,0,0,143.96034734953872,0,1,1,1,143.9603,0,4.976460238466872,3.6354031217594027,143.96034734953872,36.91713503884162,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
